Identifiant_page,date_visite,titre,URL_page,adresse_mail
141,2023-10-27,stage2,https://www.example.com/page3,t
142,2023-10-28,stage4,https://www.example.com/page4,t
143,2023-10-29,stage5,https://www.example.com/page5,t
145,2023-10-25,stage1,https://www.example.com/page1,t
146,2023-10-26,stage3,https://www.example.com/page2,t
147,2023-10-27,stage2,https://www.example.com/page3,t
148,2023-10-28,stage4,https://www.example.com/page4,t
149,2023-10-29,stage5,https://www.example.com/page5,t
151,2023-10-25,stage1,https://www.example.com/page1,t
152,2023-10-26,stage3,https://www.example.com/page2,t
153,2023-10-27,stage2,https://www.example.com/page3,t
154,2023-10-28,stage4,https://www.example.com/page4,t
155,2023-10-29,stage5,https://www.example.com/page5,t
157,2023-10-25,stage1,https://www.example.com/page1,t
158,2023-10-26,stage3,https://www.example.com/page2,t
159,2023-10-27,stage2,https://www.example.com/page3,t
160,2023-10-28,stage4,https://www.example.com/page4,t
161,2023-10-29,stage5,https://www.example.com/page5,t
163,2023-10-25,stage1,https://www.example.com/page1,t
164,2023-10-26,stage3,https://www.example.com/page2,t
165,2023-10-27,stage2,https://www.example.com/page3,t
166,2023-10-28,stage4,https://www.example.com/page4,t
167,2023-10-29,stage5,https://www.example.com/page5,t
170,2023-10-25,stage1,https://www.example.com/page1,t
171,2023-10-26,stage3,https://www.example.com/page2,t
172,2023-10-27,stage2,https://www.example.com/page3,t
173,2023-10-28,stage4,https://www.example.com/page4,t
174,2023-10-29,stage5,https://www.example.com/page5,t
177,2023-10-25,stage1,https://www.example.com/page1,t
178,2023-10-26,stage3,https://www.example.com/page2,t
179,2023-10-27,stage2,https://www.example.com/page3,t
180,2023-10-28,stage4,https://www.example.com/page4,t
181,2023-10-29,stage5,https://www.example.com/page5,t
183,2023-11-24,Stage - Chargé(e) de projets SIRH (H/F) - Janvier 2024 - 6 mois,https://www.stage.fr/job/6548418/stage-chargé-e-de-projets-sirh-h-f-janvier-2024-6-mois/,t
185,2023-10-25,stage1,https://www.example.com/page1,t
186,2023-10-26,stage3,https://www.example.com/page2,t
187,2023-10-27,stage2,https://www.example.com/page3,t
188,2023-10-28,stage4,https://www.example.com/page4,t
189,2023-10-29,stage5,https://www.example.com/page5,t
191,2023-11-24,Stage - Chargé(e) de projets SIRH (H/F) - Janvier 2024 - 6 mois,https://www.stage.fr/job/6548418/stage-chargé-e-de-projets-sirh-h-f-janvier-2024-6-mois/,t
193,2023-10-25,stage1,https://www.example.com/page1,t
194,2023-10-26,stage3,https://www.example.com/page2,t
195,2023-10-27,stage2,https://www.example.com/page3,t
196,2023-10-28,stage4,https://www.example.com/page4,t
197,2023-10-29,stage5,https://www.example.com/page5,t
199,2023-11-24,Stage - Chargé(e) de projets SIRH (H/F) - Janvier 2024 - 6 mois,https://www.stage.fr/job/6548418/stage-chargé-e-de-projets-sirh-h-f-janvier-2024-6-mois/,t
201,2023-10-25,stage1,https://www.example.com/page1,t
202,2023-10-26,stage3,https://www.example.com/page2,t
203,2023-10-27,stage2,https://www.example.com/page3,t
204,2023-10-28,stage4,https://www.example.com/page4,t
205,2023-10-29,stage5,https://www.example.com/page5,t
207,2023-11-24,Stage - Chargé(e) de projets SIRH (H/F) - Janvier 2024 - 6 mois,https://www.stage.fr/job/6548418/stage-chargé-e-de-projets-sirh-h-f-janvier-2024-6-mois/,t
209,2023-10-25,stage1,https://www.example.com/page1,t
210,2023-10-26,stage3,https://www.example.com/page2,t
211,2023-10-27,stage2,https://www.example.com/page3,t
212,2023-10-28,stage4,https://www.example.com/page4,t
213,2023-10-29,stage5,https://www.example.com/page5,t
215,2023-11-24,Stage - Chargé(e) de projets SIRH (H/F) - Janvier 2024 - 6 mois,https://www.stage.fr/job/6548418/stage-chargé-e-de-projets-sirh-h-f-janvier-2024-6-mois/,t
217,2023-10-25,stage1,https://www.example.com/page1,t
218,2023-10-26,stage3,https://www.example.com/page2,t
219,2023-10-27,stage2,https://www.example.com/page3,t
220,2023-10-28,stage4,https://www.example.com/page4,t
221,2023-10-29,stage5,https://www.example.com/page5,t
223,2023-11-24,Stage - Chargé(e) de projets SIRH (H/F) - Janvier 2024 - 6 mois,https://www.stage.fr/job/6548418/stage-chargé-e-de-projets-sirh-h-f-janvier-2024-6-mois/,t
225,2023-10-25,stage1,https://www.example.com/page1,t
226,2023-10-26,stage3,https://www.example.com/page2,t
227,2023-10-27,stage2,https://www.example.com/page3,t
228,2023-10-28,stage4,https://www.example.com/page4,t
229,2023-10-29,stage5,https://www.example.com/page5,t
231,2023-11-24,Stage - Chargé(e) de projets SIRH (H/F) - Janvier 2024 - 6 mois,https://www.stage.fr/job/6548418/stage-chargé-e-de-projets-sirh-h-f-janvier-2024-6-mois/,t
